iter	Passed	Remaining
616	26941	84799
617	26978	84734
61618	27012	846561619	27054	846162620	27096	8456621	27148	84545
62622	27189	844962623	27238	8446624	27294624	27362625	273625	27362626	273626	27462627	274627	27462628	274628	274629	27529629	275630	27572630	275631	27618631	276632	27664632	276633	27713633	277634	27755634	277635	27803635	278636	27846636	278637	27889637	279638	27933638	279639	27972639	279640	28016640	280641	28057641	280642	28100642	281643	28146643	281644	28191644	282645	28235645	282646	28277646	282647	28322647	283648	28373648	283649	28417649	284650	28462650	284651	28503651	285652	28547652	285653	28591653	286654	28630654	286655	28678655	286656	28720656	287657	28767657	287658	28808	83059
659	28854	83020
660	28890	82956
661	28930	82902
662	28971	82849
663	29013663	290664	29056	82757
665	29100665	291666	29150666	291667	29196667	292668	29245668	292669	29290669	293670	29333670	293671	29379671	293672	29427672	294673	29472673	294674	29518674	295675	29567675	295676	29614676	296677	29660677	296678	29703678	297679	29744679	297680	29787680	298681	29831681	298682	29874682	298683	29918	82013
684	29960	81965
685	30005	81924
686	30048	81879
687	30090	81830
688	30137688	301689	30182689	301690	30225690	302691	30270691	302692	30314692	303693	30354693	303694	30405694	304695	30450695	304696	30488696	305697	30526697	305698	30568698	305699	30611699	306700	30657700	306701	30700701	307702	30745702	307703	30787703	308704	30826704	308705	30871705	308706	30909706	309707	30949707	309708	30987708	310709	31032709	310710	31076710	310711	31116711	311712	31154712	311713	31195713	312714	31234714	312715	31274715	313716	31316716	313717	31356717	313718	31399718	314719	31443719	314720	31486720	315721	31527721	315722	31567722	316723	31607723	316724	31652724	316725	31691725	317726	31734726	317727	31777727	318728	31819728	318729	31863729	319730	31903730	319731	31940731	31992	79850
732	32038	79811
733	32078	79758
734	32121	79714
735	32166	79672
736	32203	79612
737	32246	79567
738	32290	79524
739	32331	79475
740	32371	79420
741	324742	32402742	324743	32443743	324744	32482744	325745	32523745	325746	32562746	326747747	32747	32655	748	32748	32701	749	32749	32747	750	32750	32790	751	32751	32840	752	32752	32883	753	32753	32933	754	32754	32978	78799
755	33021	78754
756	33062	78704
757	33103	78653
758	33144	78604
759	33189	78564
760	33231	761	33761	33274	762	33762	33312	763	33763	33355	78367
